Players,Wicket Status,Wicket Type,R_ball,B,M_ball,4s_ball,6s_ball,SR,Month,Day,Year,Ground_Played,Team_ball,O,M_bat,R_bat,W,Econ,0s,4s_bat,6s_bat,WD,NB,Team_bat
AN Cook,c â Dhoni b Patel,c b,36.0,41.0,51.0,8.0,0.0,87.8,Aug,24,2007,"County Ground, Bristol",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MJ Prior,c Dravid b Patel,c b,33.0,28.0,49.0,6.0,0.0,117.85,Aug,24,2007,"County Ground, Bristol",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IR Bell,c Patel b Chawla,c b,64.0,96.0,128.0,6.0,1.0,66.66,Aug,24,2007,"County Ground, Bristol",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
KP Pietersen,b Chawla,b,25.0,25.0,50.0,3.0,0.0,100.0,Aug,24,2007,"County Ground, Bristol",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
PD Collingwood,b Chawla,b,27.0,25.0,24.0,4.0,0.0,108.0,Aug,24,2007,"County Ground, Bristol",England,4.0,0.0,24.0,0.0,6.0,10.0,2.0,0.0,0.0,0.0,England
A Flintoff,c Agarkar b Powar,c b,9.0,7.0,5.0,2.0,0.0,128.57,Aug,24,2007,"County Ground, Bristol",England,10.0,0.0,56.0,5.0,5.6,26.0,5.0,0.0,1.0,3.0,England
RS Bopara,lbw b Patel,lbw b,17.0,20.0,22.0,1.0,0.0,85.0,Aug,24,2007,"County Ground, Bristol",England,4.0,0.0,27.0,0.0,6.75,8.0,3.0,0.0,0.0,0.0,England
AD Mascarenhas,c Agarkar b Singh,c b,52.0,39.0,45.0,1.0,5.0,133.33,Aug,24,2007,"County Ground, Bristol",England,4.0,0.0,31.0,0.0,7.75,12.0,6.0,0.0,1.0,0.0,England
SCJ Broad,not out,not out,29.0,24.0,35.0,2.0,2.0,120.83,Aug,24,2007,"County Ground, Bristol",England,9.0,0.0,54.0,1.0,6.0,32.0,9.0,0.0,1.0,2.0,England
CT Tremlett,not out,not out,0.0,1.0,4.0,0.0,0.0,0.0,Aug,24,2007,"County Ground, Bristol",England,9.0,0.0,73.0,0.0,8.11,24.0,8.0,2.0,2.0,3.0,England
SC Ganguly,c Collingwood b Flintoff,c b,39.0,54.0,100.0,5.0,1.0,72.22,Aug,24,2007,"County Ground, Bristol",India,3.0,0.0,17.0,0.0,5.66,9.0,2.0,0.0,0.0,0.0,India
SR Tendulkar,c â Prior b Flintoff,c b,99.0,112.0,158.0,15.0,1.0,88.39,Aug,24,2007,"County Ground, Bristol",India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Yuvraj Singh,c Collingwood b Broad,c b,49.0,53.0,94.0,6.0,0.0,92.45,Aug,24,2007,"County Ground, Bristol",India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
R Dravid,not out,not out,92.0,63.0,88.0,11.0,1.0,146.03,Aug,24,2007,"County Ground, Bristol",India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MS Dhoni,c Tremlett b Anderson,c b,21.0,18.0,31.0,3.0,0.0,116.66,Aug,24,2007,"County Ground, Bristol",India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
KD Karthik,lbw b Flintoff,lbw b,1.0,2.0,5.0,0.0,0.0,50.0,Aug,24,2007,"County Ground, Bristol",India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AB Agarkar,c â Prior b Flintoff,c b,1.0,3.0,2.0,0.0,0.0,33.33,Aug,24,2007,"County Ground, Bristol",India,9.0,1.0,67.0,0.0,7.44,31.0,10.0,1.0,3.0,1.0,India
RR Powar,c â Prior b Flintoff,c b,1.0,2.0,2.0,0.0,0.0,50.0,Aug,24,2007,"County Ground, Bristol",India,10.0,0.0,43.0,1.0,4.3,33.0,3.0,1.0,1.0,0.0,India
PP Chawla,not out,not out,1.0,1.0,1.0,0.0,0.0,100.0,Aug,24,2007,"County Ground, Bristol",India,10.0,0.0,60.0,3.0,6.0,30.0,4.0,3.0,1.0,0.0,India
Tamim Iqbal,c â Kieswetter b Shahzad,c b,18.0,23.0,17.0,3.0,0.0,78.26,Jul,10,2010,"County Ground, Bristol",Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Imrul Kayes,c Collingwood b Shahzad,c b,76.0,111.0,187.0,4.0,0.0,68.46,Jul,10,2010,"County Ground, Bristol",Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Junaid Siddique,c â Kieswetter b Broad,c b,21.0,23.0,35.0,4.0,0.0,91.3,Jul,10,2010,"County Ground, Bristol",Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jahurul Islam,c â Kieswetter b Shahzad,c b,40.0,53.0,70.0,1.0,1.0,75.47,Jul,10,2010,"County Ground, Bristol",Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Shakib Al,b Collingwood,b,1.0,3.0,1.0,0.0,0.0,33.33,Jul,10,2010,"County Ground, Bristol",Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mohammad Ashraful,run out (â Kieswetter/Shahzad),run out,14.0,29.0,29.0,1.0,0.0,48.27,Jul,10,2010,"County Ground, Bristol",Bangladesh,1.0,0.0,9.0,0.0,9.0,2.0,0.0,1.0,0.0,0.0,Bangladesh
Mahmudullah,not out,not out,24.0,34.0,54.0,0.0,0.0,70.58,Jul,10,2010,"County Ground, Bristol",Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mashrafe Mortaza,run out (â Kieswetter/Morgan/Anderson),run out,22.0,25.0,26.0,2.0,1.0,88.0,Jul,10,2010,"County Ground, Bristol",Bangladesh,10.0,0.0,42.0,2.0,4.2,36.0,3.0,1.0,0.0,0.0,Bangladesh
Abdur Razzak,not out,not out,1.0,2.0,2.0,0.0,0.0,50.0,Jul,10,2010,"County Ground, Bristol",Bangladesh,10.0,0.0,43.0,2.0,4.3,33.0,2.0,1.0,1.0,0.0,Bangladesh
AJ Strauss,c â Jahurul Islam b Rubel Hossain,c b,33.0,36.0,32.0,4.0,1.0,91.66,Jul,10,2010,"County Ground, Bristol",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C Kieswetter,c â Jahurul Islam b Rubel Hossain,c b,20.0,17.0,40.0,2.0,1.0,117.64,Jul,10,2010,"County Ground, Bristol",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IJL Trott,c â Jahurul Islam b Shafiul Islam,c b,94.0,130.0,170.0,8.0,0.0,72.3,Jul,10,2010,"County Ground, Bristol",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
PD Collingwood,lbw b Abdur Razzak,lbw b,10.0,24.0,34.0,0.0,1.0,41.66,Jul,10,2010,"County Ground, Bristol",England,5.0,0.0,16.0,1.0,3.2,16.0,0.0,0.0,0.0,0.0,England
EJG Morgan,lbw b Abdur Razzak,lbw b,1.0,3.0,6.0,0.0,0.0,33.33,Jul,10,2010,"County Ground, Bristol",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MH Yardy,b Shakib Al Hasan,b,10.0,24.0,24.0,0.0,0.0,41.66,Jul,10,2010,"County Ground, Bristol",England,10.0,0.0,39.0,0.0,3.9,31.0,0.0,0.0,3.0,0.0,England
LJ Wright,c Junaid Siddique b Shafiul Islam,c b,15.0,22.0,33.0,0.0,1.0,68.18,Jul,10,2010,"County Ground, Bristol",England,6.0,0.0,30.0,0.0,5.0,17.0,2.0,0.0,2.0,0.0,England
A Shahzad,b Shakib Al Hasan,b,5.0,9.0,13.0,0.0,0.0,55.55,Jul,10,2010,"County Ground, Bristol",England,10.0,0.0,41.0,3.0,4.1,36.0,4.0,0.0,2.0,0.0,England
SCJ Broad,c Shakib Al Hasan b Mashrafe Mortaza,c b,21.0,25.0,34.0,1.0,1.0,84.0,Jul,10,2010,"County Ground, Bristol",England,10.0,0.0,60.0,1.0,6.0,30.0,3.0,2.0,2.0,3.0,England
JM Anderson,c & b Mashrafe Mortaza,c b,2.0,7.0,14.0,0.0,0.0,28.57,Jul,10,2010,"County Ground, Bristol",England,9.0,0.0,46.0,0.0,5.11,28.0,6.0,0.0,1.0,0.0,England
IR Bell,not out,not out,0.0,0.0,3.0,0.0,0.0,0.0,Jul,10,2010,"County Ground, Bristol",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SC Ganguly,run out (Silva/â Sangakkara),run out,9.0,19.0,37.0,2.0,0.0,47.36,Jul,11,2002,"County Ground, Bristol",India,10.0,0.0,40.0,1.0,4.0,34.0,2.0,1.0,1.0,1.0,India
V Sehwag,run out (Fernando),run out,39.0,40.0,61.0,6.0,0.0,97.5,Jul,11,2002,"County Ground, Bristol",India,1.0,0.0,10.0,0.0,10.0,2.0,2.0,0.0,0.0,0.0,India
D Mongia,b Samaraweera,b,48.0,63.0,91.0,6.0,0.0,76.19,Jul,11,2002,"County Ground, Bristol",India,1.0,0.0,8.0,0.0,8.0,2.0,0.0,0.0,1.0,0.0,India
SR Tendulkar,c Chandana b Vaas,c b,113.0,102.0,141.0,12.0,1.0,110.78,Jul,11,2002,"County Ground, Bristol",India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
R Dravid,lbw b Chandana,lbw b,13.0,16.0,20.0,1.0,0.0,81.25,Jul,11,2002,"County Ground, Bristol",India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Yuvraj Singh,lbw b Samaraweera,lbw b,8.0,11.0,10.0,1.0,0.0,72.72,Jul,11,2002,"County Ground, Bristol",India,2.0,0.0,12.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,India
M Kaif,c Silva b Zoysa,c b,41.0,43.0,53.0,3.0,0.0,95.34,Jul,11,2002,"County Ground, Bristol",India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Harbhajan Singh,run out (Jayasuriya),run out,0.0,0.0,2.0,0.0,0.0,0.0,Jul,11,2002,"County Ground, Bristol",India,10.0,0.0,46.0,4.0,4.6,31.0,3.0,0.0,1.0,0.0,India
Z Khan,b Fernando,b,0.0,1.0,3.0,0.0,0.0,0.0,Jul,11,2002,"County Ground, Bristol",India,8.1,0.0,52.0,1.0,6.36,27.0,9.0,0.0,0.0,1.0,India
A Nehra,b Fernando,b,3.0,6.0,12.0,0.0,0.0,50.0,Jul,11,2002,"County Ground, Bristol",India,7.0,0.0,28.0,0.0,4.0,29.0,3.0,0.0,0.0,1.0,India
T Yohannan,not out,not out,5.0,5.0,7.0,0.0,0.0,100.0,Jul,11,2002,"County Ground, Bristol",India,5.0,0.0,39.0,0.0,7.8,14.0,4.0,1.0,2.0,3.0,India
ST Jayasuriya,lbw b Khan,lbw b,5.0,4.0,5.0,1.0,0.0,125.0,Jul,11,2002,"County Ground, Bristol",Sri Lanka,2.0,0.0,14.0,0.0,7.0,4.0,1.0,0.0,3.0,0.0,Sri Lanka
MS Atapattu,run out (Yuvraj Singh),run out,53.0,74.0,131.0,5.0,0.0,71.62,Jul,11,2002,"County Ground, Bristol",Sri Lanka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
KC Sangakkara,st â Dravid b Harbhajan Singh,st b,66.0,47.0,58.0,11.0,1.0,140.42,Jul,11,2002,"County Ground, Bristol",Sri Lanka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DPMD Jayawardene,c Nehra b Yuvraj Singh,c b,31.0,44.0,52.0,2.0,0.0,70.45,Jul,11,2002,"County Ground, Bristol",Sri Lanka,2.0,0.0,16.0,0.0,8.0,3.0,2.0,0.0,0.0,0.0,Sri Lanka
DNT Zoysa,c Mongia b Ganguly,c b,8.0,9.0,15.0,0.0,1.0,88.88,Jul,11,2002,"County Ground, Bristol",Sri Lanka,10.0,0.0,66.0,1.0,6.6,36.0,9.0,0.0,2.0,6.0,Sri Lanka
RP Arnold,run out (Kaif),run out,8.0,9.0,19.0,1.0,0.0,88.88,Jul,11,2002,"County Ground, Bristol",Sri Lanka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
LPC Silva,st â Dravid b Harbhajan Singh,st b,30.0,37.0,55.0,2.0,0.0,81.08,Jul,11,2002,"County Ground, Bristol",Sri Lanka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
TT Samaraweera,b Harbhajan Singh,b,15.0,22.0,23.0,1.0,0.0,68.18,Jul,11,2002,"County Ground, Bristol",Sri Lanka,8.0,0.0,39.0,2.0,4.87,20.0,0.0,1.0,2.0,0.0,Sri Lanka
UDU Chandana,c Nehra b Harbhajan Singh,c b,1.0,4.0,6.0,0.0,0.0,25.0,Jul,11,2002,"County Ground, Bristol",Sri Lanka,8.0,0.0,44.0,1.0,5.5,18.0,4.0,0.0,0.0,0.0,Sri Lanka
WPUJC Vaas,not out,not out,4.0,6.0,21.0,0.0,0.0,66.66,Jul,11,2002,"County Ground, Bristol",Sri Lanka,10.0,1.0,64.0,1.0,6.4,27.0,8.0,0.0,2.0,0.0,Sri Lanka
CRD Fernando,run out (Mongia/â Dravid),run out,3.0,16.0,13.0,0.0,0.0,18.75,Jul,11,2002,"County Ground, Bristol",Sri Lanka,10.0,1.0,55.0,2.0,5.5,31.0,6.0,0.0,2.0,1.0,Sri Lanka
ME Trescothick,run out (Butler),run out,1.0,9.0,16.0,0.0,0.0,11.11,Jul,4,2004,"County Ground, Bristol",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MP Vaughan,c Harris b Oram,c b,12.0,31.0,44.0,2.0,0.0,38.7,Jul,4,2004,"County Ground, Bristol",England,5.0,0.0,29.0,0.0,5.8,12.0,2.0,0.0,2.0,0.0,England
RWT Key,c â Hopkins b Styris,c b,18.0,34.0,52.0,3.0,0.0,52.94,Jul,4,2004,"County Ground, Bristol",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AJ Strauss,c Astle b Butler,c b,61.0,86.0,117.0,7.0,0.0,70.93,Jul,4,2004,"County Ground, Bristol",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A Flintoff,b Butler,b,106.0,121.0,127.0,11.0,2.0,87.6,Jul,4,2004,"County Ground, Bristol",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
PD Collingwood,c â Hopkins b Oram,c b,20.0,20.0,29.0,2.0,0.0,100.0,Jul,4,2004,"County Ground, Bristol",England,7.2,0.0,47.0,2.0,6.4,24.0,6.0,1.0,0.0,0.0,England
GO Jones,not out,not out,1.0,2.0,6.0,0.0,0.0,50.0,Jul,4,2004,"County Ground, Bristol",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SI Mahmood,c Oram b Butler,c b,1.0,2.0,2.0,0.0,0.0,50.0,Jul,4,2004,"County Ground, Bristol",England,7.0,0.0,56.0,0.0,8.0,20.0,7.0,0.0,2.0,4.0,England
SP Fleming,c Strauss b Collingwood,c b,99.0,126.0,198.0,10.0,1.0,78.57,Jul,4,2004,"County Ground, Bristol",New Zealand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
NJ Astle,b Harmison,b,53.0,85.0,111.0,9.0,0.0,62.35,Jul,4,2004,"County Ground, Bristol",New Zealand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HJH Marshall,run out (Collingwood),run out,55.0,51.0,83.0,6.0,0.0,107.84,Jul,4,2004,"County Ground, Bristol",New Zealand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SB Styris,c Trescothick b Collingwood,c b,1.0,4.0,3.0,0.0,0.0,25.0,Jul,4,2004,"County Ground, Bristol",New Zealand,9.0,0.0,34.0,1.0,3.77,30.0,2.0,0.0,0.0,0.0,New Zealand
CD McMillan,not out,not out,3.0,16.0,16.0,0.0,0.0,18.75,Jul,4,2004,"County Ground, Bristol",New Zealand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
JDP Oram,not out,not out,10.0,7.0,7.0,2.0,0.0,142.85,Jul,4,2004,"County Ground, Bristol",New Zealand,10.0,3.0,27.0,2.0,2.7,47.0,3.0,0.0,1.0,0.0,New Zealand
AFG Griffith,c Brent b Nkala,c b,10.0,32.0,40.0,0.0,0.0,31.25,Jul,6,2000,"County Ground, Bristol",West Indies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CH Gayle,run out (Flower/Whittall),run out,41.0,86.0,102.0,6.0,0.0,47.67,Jul,6,2000,"County Ground, Bristol",West Indies,8.0,1.0,35.0,0.0,4.37,0.0,0.0,0.0,0.0,0.0,West Indies
WW Hinds,c Wishart b GW Flower,c b,51.0,74.0,86.0,5.0,1.0,68.91,Jul,6,2000,"County Ground, Bristol",West Indies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BC Lara,c Johnson b GW Flower,c b,60.0,63.0,71.0,6.0,1.0,95.23,Jul,6,2000,"County Ground, Bristol",West Indies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RL Powell,c GW Flower b Brent,c b,36.0,23.0,29.0,5.0,1.0,156.52,Jul,6,2000,"County Ground, Bristol",West Indies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RD Jacobs,not out,not out,16.0,17.0,25.0,0.0,0.0,94.11,Jul,6,2000,"County Ground, Bristol",West Indies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
FA Rose,lbw b Brent,lbw b,0.0,4.0,3.0,0.0,0.0,0.0,Jul,6,2000,"County Ground, Bristol",West Indies,10.0,0.0,50.0,2.0,5.0,0.0,0.0,0.0,0.0,4.0,West Indies
NAM McLean,run out (Flower/â Flower),run out,2.0,2.0,2.0,0.0,0.0,100.0,Jul,6,2000,"County Ground, Bristol",West Indies,9.0,0.0,63.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,West Indies
JC Adams,not out,not out,2.0,2.0,1.0,0.0,0.0,100.0,Jul,6,2000,"County Ground, Bristol",West Indies,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,West Indies
NC Johnson,not out,not out,95.0,128.0,193.0,9.0,0.0,74.21,Jul,6,2000,"County Ground, Bristol",Zimbabwe,3.0,0.0,14.0,0.0,4.66,0.0,0.0,0.0,3.0,0.0,Zimbabwe
CB Wishart,c Powell b Rose,c b,7.0,19.0,24.0,1.0,0.0,36.84,Jul,6,2000,"County Ground, Bristol",Zimbabwe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MW Goodwin,c Hinds b Rose,c b,23.0,23.0,19.0,4.0,0.0,100.0,Jul,6,2000,"County Ground, Bristol",Zimbabwe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ADR Campbell,c â Jacobs b Dillon,c b,17.0,26.0,33.0,1.0,0.0,65.38,Jul,6,2000,"County Ground, Bristol",Zimbabwe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A Flower,c Gayle b King,c b,42.0,59.0,66.0,4.0,0.0,71.18,Jul,6,2000,"County Ground, Bristol",Zimbabwe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
GW Flower,not out,not out,26.0,25.0,41.0,2.0,1.0,104.0,Jul,6,2000,"County Ground, Bristol",Zimbabwe,6.0,0.0,27.0,2.0,4.5,0.0,0.0,0.0,0.0,0.0,Zimbabwe
ME Trescothick,c Friend b Streak,c b,8.0,11.0,20.0,0.0,0.0,72.72,Jul,6,2003,"County Ground, Bristol",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
VS Solanki,c â Taibu b Streak,c b,7.0,23.0,35.0,1.0,0.0,30.43,Jul,6,2003,"County Ground, Bristol",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RL Johnson,c Coventry b Streak,c b,0.0,2.0,2.0,0.0,0.0,0.0,Jul,6,2003,"County Ground, Bristol",England,5.0,0.0,16.0,2.0,3.2,24.0,2.0,0.0,4.0,0.0,England
MP Vaughan,not out,not out,11.0,34.0,73.0,0.0,0.0,32.35,Jul,6,2003,"County Ground, Bristol",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A McGrath,c Flower b Streak,c b,1.0,5.0,9.0,0.0,0.0,20.0,Jul,6,2003,"County Ground, Bristol",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A Flintoff,not out,not out,47.0,37.0,51.0,7.0,2.0,127.02,Jul,6,2003,"County Ground, Bristol",England,2.5,1.0,13.0,3.0,4.58,13.0,2.0,0.0,0.0,0.0,England
DD Ebrahim,c Trescothick b Gough,c b,7.0,22.0,22.0,0.0,0.0,31.81,Jul,6,2003,"County Ground, Bristol",Zimbabwe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CK Coventry,c Vaughan b Anderson,c b,3.0,10.0,20.0,0.0,0.0,30.0,Jul,6,2003,"County Ground, Bristol",Zimbabwe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
TJ Friend,c â Read b Gough,c b,4.0,4.0,7.0,1.0,0.0,100.0,Jul,6,2003,"County Ground, Bristol",Zimbabwe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
GW Flower,c â Read b Gough,c b,1.0,21.0,32.0,0.0,0.0,4.76,Jul,6,2003,"County Ground, Bristol",Zimbabwe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
T Taibu,c Trescothick b Johnson,c b,5.0,15.0,20.0,1.0,0.0,33.33,Jul,6,2003,"County Ground, Bristol",Zimbabwe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
S Matsikenyeri,b Flintoff,b,26.0,35.0,43.0,2.0,0.0,74.28,Jul,6,2003,"County Ground, Bristol",Zimbabwe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HH Streak,c â Read b Gough,c b,5.0,5.0,6.0,1.0,0.0,100.0,Jul,6,2003,"County Ground, Bristol",Zimbabwe,9.0,3.0,21.0,4.0,2.33,45.0,1.0,0.0,2.0,1.0,Zimbabwe
SM Ervine,c Clarke b Johnson,c b,0.0,11.0,13.0,0.0,0.0,0.0,Jul,6,2003,"County Ground, Bristol",Zimbabwe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AM Blignaut,c Clarke b Flintoff,c b,17.0,21.0,37.0,3.0,0.0,80.95,Jul,6,2003,"County Ground, Bristol",Zimbabwe,5.5,0.0,56.0,0.0,9.6,23.0,6.0,2.0,4.0,4.0,Zimbabwe
RW Price,c â Read b Flintoff,c b,0.0,4.0,3.0,0.0,0.0,0.0,Jul,6,2003,"County Ground, Bristol",Zimbabwe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DT Hondo,not out,not out,0.0,5.0,8.0,0.0,0.0,0.0,Jul,6,2003,"County Ground, Bristol",Zimbabwe,3.0,0.0,14.0,0.0,4.66,13.0,1.0,0.0,1.0,0.0,Zimbabwe
Mohammad Shahzad,b Starc,b,0.0,3.0,4.0,0.0,0.0,0.0,Jun,1,2019,"County Ground, Bristol",Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hazratullah Zazai,c â Carey b Cummins,c b,0.0,2.0,10.0,0.0,0.0,0.0,Jun,1,2019,"County Ground, Bristol",Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Rahmat Shah,c Smith b Zampa,c b,43.0,60.0,86.0,6.0,0.0,71.66,Jun,1,2019,"County Ground, Bristol",Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hashmatullah Shahidi,st â Carey b Zampa,st b,18.0,34.0,56.0,3.0,0.0,52.94,Jun,1,2019,"County Ground, Bristol",Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mohammad Nabi,run out (Smith/â Carey),run out,7.0,22.0,28.0,0.0,0.0,31.81,Jun,1,2019,"County Ground, Bristol",Afghanistan,6.0,0.0,32.0,0.0,5.33,18.0,1.0,0.0,2.0,0.0,Afghanistan
Gulbadin Naib,c â Carey b Stoinis,c b,31.0,33.0,67.0,4.0,1.0,93.93,Jun,1,2019,"County Ground, Bristol",Afghanistan,5.0,0.0,32.0,1.0,6.4,16.0,2.0,1.0,2.0,1.0,Afghanistan
Najibullah Zadran,c â Carey b Stoinis,c b,51.0,49.0,66.0,7.0,2.0,104.08,Jun,1,2019,"County Ground, Bristol",Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Rashid Khan,lbw b Zampa,lbw b,27.0,11.0,23.0,2.0,3.0,245.45,Jun,1,2019,"County Ground, Bristol",Afghanistan,8.0,0.0,52.0,1.0,6.5,17.0,4.0,1.0,0.0,0.0,Afghanistan
Dawlat Zadran,c â Carey b Cummins,c b,4.0,6.0,5.0,1.0,0.0,66.66,Jun,1,2019,"County Ground, Bristol",Afghanistan,5.0,0.0,32.0,0.0,6.4,17.0,3.0,1.0,1.0,1.0,Afghanistan
Mujeeb Ur,b Cummins,b,13.0,9.0,18.0,1.0,1.0,144.44,Jun,1,2019,"County Ground, Bristol",Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hamid Hassan,not out,not out,1.0,2.0,3.0,0.0,0.0,50.0,Jun,1,2019,"County Ground, Bristol",Afghanistan,6.0,2.0,15.0,0.0,2.5,28.0,2.0,0.0,1.0,0.0,Afghanistan
AJ Finch,c Mujeeb Ur Rahman b Gulbadin Naib,c b,66.0,49.0,63.0,6.0,4.0,134.69,Jun,1,2019,"County Ground, Bristol",Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DA Warner,not out,not out,89.0,114.0,131.0,8.0,0.0,78.07,Jun,1,2019,"County Ground, Bristol",Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
UT Khawaja,lbw b Rashid Khan,lbw b,15.0,20.0,32.0,1.0,0.0,75.0,Jun,1,2019,"County Ground, Bristol",Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SPD Smith,c Hazratullah Zazai b Mujeeb Ur Rahman,c b,18.0,27.0,36.0,1.0,0.0,66.66,Jun,1,2019,"County Ground, Bristol",Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
GJ Maxwell,not out,not out,4.0,1.0,2.0,1.0,0.0,400.0,Jun,1,2019,"County Ground, Bristol",Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
